"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[6,6] None F",62.71084298,62.7018,62.5811688447315,12003.4,0.95,51.88,73.6356,NA,NA,NA,NA,NA,NA,NA
"m[1,7] f G",42.3116454,42.2423,41.5444380332092,9230.5,0.95,31.3276,53.6708,NA,NA,NA,NA,NA,NA,NA
"m[2,7] fF G",30.2334666533333,30.19275,29.7423474541894,14555.5,0.95,19.7573,41.2012,NA,NA,NA,NA,NA,NA,NA
"m[3,7] L G",10.749673598968,10.8024,11.0152332162068,9582.9,0.95,0.048148,21.5655,NA,NA,NA,NA,NA,NA,NA
"m[4,7] Lf G",9.92748904606267,9.98677,10.9067931646031,15000,0.95,-0.810582,20.5216,NA,NA,NA,NA,NA,NA,NA
"m[5,7] LfF G",6.34433376935647,6.254485,5.78679841534663,12156.7,0.95,-3.88649,17.7521,NA,NA,NA,NA,NA,NA,NA
"m[6,7] None G",39.6466550866667,39.6963,40.306892397287,8599,0.95,28.3315,51.1948,NA,NA,NA,NA,NA,NA,NA
"m[1,8] f H",36.4739415866667,36.5142,36.2902194800289,12292.4,0.95,25.4838,46.9116,NA,NA,NA,NA,NA,NA,NA
"m[2,8] fF H",27.955094142,27.99885,28.2055334185453,13202.5,0.95,17.1349,38.8341,NA,NA,NA,NA,NA,NA,NA
"m[3,8] L H",16.2812288171467,16.26095,16.2302260717984,15000,0.95,6.10387,27.5761,NA,NA,NA,NA,NA,NA,NA
"m[4,8] Lf H",14.6006509659067,14.52135,14.173847259016,15000,0.95,4.37227,25.5851,NA,NA,NA,NA,NA,NA,NA
"m[5,8] LfF H",5.72042729816327,5.694825,5.50523339955551,15000,0.95,-4.97197,16.2774,NA,NA,NA,NA,NA,NA,NA
"m[6,8] None H",52.4071216533333,52.36995,52.483703669288,10941.7,0.95,41.2264,63.3233,NA,NA,NA,NA,NA,NA,NA
"ySigma",9.82631218866667,9.73225,9.65018419382024,4265.3,0.95,7.96097,12.0244,NA,NA,NA,NA,NA,NA,NA
"a1SD",21.4957815566667,19.2888,16.3321386934226,2268.8,0.95,8.64067,38.9277,NA,NA,NA,NA,NA,NA,NA
"a2SD",17.6835437746667,16.4261,15.0055601219216,4068.8,0.95,8.48724,30.1428,NA,NA,NA,NA,NA,NA,NA
"a1a2SD",6.90219155959333,6.971975,7.08043098247143,1851.5,0.95,2.4342,10.887,NA,NA,NA,NA,NA,NA,NA
"None.v.f",9.05105143,9.0425,9.04127813914764,15000,0.95,2.2243,15.8034,0,99.5733333333333,-5,5,0,11.7533333333333,88.2466666666667
"L.v.Lf",2.67106487053333,2.650025,2.5810673000896,15358.3,0.95,-3.996,9.46828,0,78.22,-5,5,1.28666666666667,73.8133333333333,24.9
"NoneL.v.fLf",5.86105815026667,5.878325,6.08580711985497,14598.9,0.95,1.08584,10.6325,0,99.2333333333333,-5,5,0.00666666666666667,35.72,64.2733333333333
"NoneffF.v.LLfLfF",27.6802778849327,27.6824466666667,27.7070685870579,15000,0.95,23.6604033333333,31.6050333333333,0,100,-5,5,0,0,100
"None.v.L",32.1018529228,32.143695,31.9751794782745,15000,0.95,25.22302,38.869,0,100,-5,5,0,0,100
"D.v.A",44.0981759466667,44.1413,44.5333172193433,15000,0.95,35.7978,51.7628,0,100,-5,5,0,0,100
"NoneffF.v.LLfLfF.x.D.v.A",19.8575619300793,20.2391273333333,20.7126277335661,2596.5,0.95,1.45697863333333,35.8480366666667,0,99.0066666666667,-5,5,0.0133333333333333,5.88666666666667,94.1
